,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
22,717004987,717004947,2022-09-20 16:02:29 UTC,1,1,22,7,4,128,0,0,0,0,15,0,85,0,0,0,2,205,9,248,2,255,255,97,5,128,13.904141426086426,14.268646240234377,14.8773832321167,13.734227180480955,13.734227180480955,14.074174880981444,0.1155693084001541,0.0534009896218776,0.001594059402123,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
23,717004992,717004952,2022-09-20 16:02:34 UTC,1,1,23,7,5,0,0,0,0,0,15,0,85,0,0,0,2,118,9,248,2,255,255,97,5,2,13.904141426086426,14.220013618469238,14.804253578186035,13.831306457519531,13.782761573791504,14.098475456237791,0.1323069334030151,0.040648516267538,0.001594059402123,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
24,717004997,717004957,2022-09-20 16:02:39 UTC,1,1,24,7,5,0,0,0,0,0,15,0,85,0,0,0,2,216,9,248,2,255,255,97,5,6,14.001288414001465,14.438937187194824,14.926148414611816,13.976998329162598,13.685702323913574,14.122777938842772,0.1243366301059722,0.0270990096032619,0.001594059402123,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
25,717005002,717004962,2022-09-20 16:02:44 UTC,1,1,25,7,5,128,0,0,0,0,15,0,85,0,0,0,2,192,9,248,2,255,255,97,5,136,13.976998329162598,14.317288398742676,14.853004455566406,13.928423881530762,13.70996379852295,14.171390533447266,0.1267277300357818,0.0318811871111393,0.0023910892195999,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
26,717005006,717004967,2022-09-20 16:02:49 UTC,1,1,26,7,5,128,0,0,0,0,15,0,85,0,0,0,2,19,9,248,2,255,255,97,5,134,13.879859924316406,14.34161376953125,14.853004455566406,14.001288414001465,13.782761573791504,14.122777938842772,0.1394802033901214,0.0374603942036628,0.0023910892195999,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
27,717005011,717004972,2022-09-20 16:02:54 UTC,1,1,27,7,6,0,0,0,0,0,15,0,85,0,0,0,2,223,9,248,2,255,255,97,6,8,13.952710151672363,14.317288398742676,14.974924087524414,14.098475456237791,13.758493423461914,14.268646240234377,0.1075990125536918,0.0486188121140003,0.001594059402123,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
28,717005016,717004977,2022-09-20 16:02:59 UTC,1,1,28,7,6,128,0,0,0,0,15,0,85,0,0,0,2,34,9,248,2,255,255,97,6,136,14.001288414001465,14.414603233337402,14.8773832321167,14.001288414001465,13.831306457519531,14.171390533447266,0.1020198017358779,0.0549950487911701,0.0023910892195999,0.0031881188042461,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
29,717005021,717004982,2022-09-20 16:03:04 UTC,1,1,29,7,6,128,0,0,0,0,15,0,85,0,0,0,2,171,9,248,2,255,255,97,6,134,14.074174880981444,14.365941047668455,14.926148414611816,13.928423881530762,13.879859924316406,14.195700645446776,0.1083960384130477,0.0398514866828918,0.0023910892195999,0.0007970297010615,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
30,717005026,717004987,2022-09-20 16:03:09 UTC,1,1,30,7,0,0,14,33,0,85,15,0,85,0,0,0,2,40,9,248,2,255,255,97,4,2,13.976998329162598,14.438937187194824,14.95053482055664,13.952710151672363,13.491701126098633,14.268646240234377,0.0733267292380333,0.0358663350343704,0.0023910892195999,0.2064306885004043,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
31,717005032,717004992,2022-09-20 16:03:14 UTC,1,1,31,7,5,110,14,33,0,85,85,0,85,0,0,0,2,72,9,248,2,255,255,97,5,116,14.001288414001465,14.34161376953125,15.096904754638672,14.074174880981444,13.807032585144045,14.195700645446776,0.1052079200744628,0.0701386108994484,0.2319356501102447,0.2518613934516907,0,2,0,11.800000190734863,-4.900000095367432,-100.0,0,8,0,13.0,0,0,0,0,0,0,0,0
