,time,bcnX,bcnY,bcnExp,calX,calY,calSetX,calSetY,calExp
28,17.7887,1297.93,889.991,8099,1270.22,1174.45,1269.81,1174.32,10
29,18.3598,1297.6,889.682,7290,1270.26,1174.6,1270.14,1174.63,10
30,18.9321,1297.25,889.283,8820,1270.21,1174.57,1270.49,1175.03,10
31,19.5086,1297.17,888.903,8820,1270.48,1175.11,1270.57,1175.41,10
32,20.1074,1297.13,888.799,8820,1270.8,1175.57,1270.61,1175.51,10
33,20.6584,1297.19,888.828,8820,1270.55,1175.65,1270.47,1175.61,10
34,21.2312,1297.3,888.729,7938,1270.49,1175.62,1270.37,1175.71,10
35,21.7889,1297.32,888.755,7938,1270.45,1175.72,1270.34,1175.69,10
36,22.8845,1297.36,888.688,6431,1270.72,1175.8,1270.3,1175.75,10
37,23.4593,1297.16,888.044,8559,1271.18,1176.16,1270.5,1176.4,10
38,24.037,1296.85,887.752,8559,1271.07,1176.38,1270.81,1176.69,10
39,24.5783,1296.92,887.577,7704,1270.44,1176.7,1270.74,1176.87,10
40,25.1643,1297.05,887.736,7704,1269.86,1176.8,1270.61,1176.71,10
41,25.6985,1297.11,888.364,9321,1270.48,1176.76,1270.56,1176.08,10
42,26.293,1297.33,889.182,7551,1270.58,1175.57,1270.33,1175.26,10
43,26.8241,1297.24,889.859,6796,1270.61,1174.92,1270.43,1174.58,10
44,27.9013,1296.14,890.376,8222,1270.6,1174.52,1271.53,1174.07,10
45,28.4767,1292.42,891.518,7400,1273.86,1173.65,1275.25,1172.92,10
46,29.046,1291.98,891.806,7400,1275.79,1172.75,1275.68,1172.64,10
47,29.5921,1297.91,892.365,8140,1274.41,1172.34,1269.76,1172.08,10
48,30.1733,1299.85,892.262,8140,1271.3,1172.21,1267.82,1172.18,10
49,30.7207,1302.0,891.775,7253,1268.42,1172.42,1265.05,1172.76,10
50,31.3134,1304.86,891.096,7978,1265.01,1172.95,1262.18,1173.44,10
51,31.8551,1308.1,890.406,7109,1262.75,1173.67,1258.94,1174.13,10
52,32.7992,1309.44,890.191,7109,1260.73,1174.05,1257.61,1174.35,10
53,33.3739,1302.83,889.355,8600,1261.89,1174.97,1264.22,1175.18,10
54,33.9426,1299.3,889.624,8600,1265.26,1175.08,1267.75,1174.91,10
55,34.504,1296.93,890.009,6966,1268.91,1174.77,1270.12,1174.53,10
56,35.0615,1295.71,890.724,6896,1270.63,1174.13,1271.33,1173.81,10
57,35.6355,1295.35,891.284,6827,1271.43,1173.67,1271.69,1173.25,10
58,36.2229,1295.63,891.724,5531,1272.1,1173.16,1271.42,1172.81,10
59,36.7656,1295.96,891.887,5475,1269.83,1172.84,1271.08,1172.65,10
60,37.827,1296.02,892.083,6022,1271.48,1172.57,1271.02,1172.45,10
61,38.3678,1296.9,892.387,7286,1270.05,1172.27,1270.15,1172.15,10
62,38.943,1297.36,892.481,7213,1270.42,1172.17,1269.68,1172.06,10
63,39.5,1297.81,892.892,5843,1269.47,1171.89,1269.23,1171.65,10
64,40.0324,1298.49,893.792,5727,1268.69,1171.25,1268.56,1170.75,10
65,40.602,1298.9,894.23,6299,1268.05,1170.63,1267.22,1170.26,10
66,41.1733,1299.11,894.183,7620,1267.27,1170.36,1267.01,1170.3,10
67,41.7236,1299.33,893.82,5556,1266.93,1170.5,1266.8,1170.67,10
68,42.9178,1299.16,893.155,6051,1266.99,1170.83,1266.96,1171.33,10
69,43.4863,1298.73,891.557,5446,1267.37,1172.1,1267.39,1172.93,10
70,44.0376,1298.67,890.444,4902,1267.36,1173.56,1267.45,1174.04,10
71,44.5646,1298.46,888.637,4412,1267.43,1174.71,1267.67,1175.85,10
72,45.1605,1298.15,887.247,5338,1267.9,1176.49,1267.97,1177.24,10
73,45.7095,1298.03,888.645,5871,1267.86,1176.74,1268.09,1175.84,10
74,46.2709,1298.08,891.367,6458,1268.12,1174.98,1268.04,1173.12,10
75,46.8219,1298.37,895.215,7103,1268.05,1172.88,1267.76,1169.27,10
76,47.8946,1298.69,898.503,5754,1267.52,1171.38,1267.43,1165.98,10
77,48.4618,1298.24,893.409,6329,1267.74,1170.12,1267.88,1171.08,10
78,48.992,1297.83,890.649,5697,1268.32,1172.33,1268.29,1173.84,10
79,49.5461,1297.74,888.856,4616,1268.46,1174.54,1268.39,1175.63,10
80,50.094,1297.89,888.328,4616,1268.52,1175.68,1268.23,1176.16,10
81,50.6649,1298.27,888.49,5584,1267.99,1176.0,1267.15,1175.76,10
82,51.209,1298.71,888.74,4524,1267.15,1175.59,1266.7,1175.51,10
83,51.7311,1298.97,888.887,4524,1266.83,1175.43,1266.45,1175.37,10
84,52.9515,1299.11,888.722,5473,1266.35,1175.44,1266.31,1175.53,10
85,53.4901,1298.87,888.906,5473,1266.21,1175.38,1266.55,1175.35,10
86,54.0242,1298.71,889.301,4926,1266.56,1175.27,1266.71,1174.95,10
87,54.5785,1298.67,889.764,3991,1266.54,1174.85,1266.75,1174.49,10
88,55.1123,1298.66,890.272,4390,1266.88,1174.41,1266.75,1173.98,10
89,55.6686,1298.58,890.56,4390,1266.86,1173.78,1266.83,1173.69,10
90,56.2176,1298.64,890.768,3951,1266.82,1173.67,1266.78,1173.48,10
91,56.7308,1298.74,891.301,3951,1266.83,1173.34,1266.68,1172.95,10
92,57.9512,1298.89,891.836,3951,1266.73,1172.78,1266.53,1172.42,10
93,58.5007,1299.0,892.333,5783,1266.62,1172.04,1266.41,1171.92,10
94,59.0819,1298.86,892.05,4685,1266.37,1172.12,1266.55,1172.2,10
95,59.6047,1298.93,891.666,4217,1266.57,1172.33,1266.48,1172.59,10
96,60.1462,1299.02,891.162,5611,1266.32,1172.77,1266.39,1173.09,10
97,60.7101,1299.1,890.823,5050,1266.28,1173.02,1266.38,1173.08,10
98,61.2578,1298.95,890.31,5050,1266.52,1173.31,1266.52,1173.59,10
99,61.7963,1299.06,890.188,5050,1266.3,1173.66,1266.41,1173.71,10
100,62.8578,1299.11,890.23,5555,1266.03,1173.75,1266.37,1173.67,10
101,63.4125,1298.92,890.095,5555,1266.73,1173.72,1266.56,1173.8,10
102,63.954,1299.73,890.33,5000,1266.5,1173.9,1265.74,1173.57,10
103,64.5123,1303.14,891.138,4950,1264.29,1173.31,1262.34,1172.76,10
104,65.0451,1306.33,891.764,4411,1261.51,1172.45,1259.15,1172.14,10
105,65.5979,1308.27,891.931,4411,1258.31,1171.99,1257.21,1171.97,10
106,66.152,1309.17,891.698,4367,1256.94,1172.14,1256.31,1172.2,10
107,66.6727,1309.39,891.55,4367,1256.15,1172.25,1256.08,1172.35,10
108,67.2391,1308.17,891.533,4803,1256.56,1172.26,1257.3,1172.37,10
109,67.9726,1307.16,891.525,4803,1256.52,1172.41,1258.32,1172.37,10
110,68.5251,1298.56,890.781,4755,1263.62,1172.85,1266.92,1173.12,10
111,69.0621,1296.73,890.772,4755,1267.35,1173.18,1268.75,1173.13,10
112,69.5923,1296.1,890.962,5753,1268.75,1172.91,1269.37,1172.94,10
113,70.1434,1296.44,890.972,5178,1269.28,1172.86,1269.03,1172.93,10
114,70.6842,1296.85,890.701,5178,1268.96,1173.1,1269.71,1172.89,10
115,71.2301,1297.17,890.207,6890,1269.46,1173.28,1269.38,1173.38,10
116,71.7732,1297.52,889.903,5581,1269.28,1173.46,1269.03,1173.68,10
117,72.9609,1297.69,889.6,4521,1268.76,1173.9,1268.86,1173.99,10
118,73.5197,1298.15,888.831,6017,1268.5,1174.15,1268.4,1174.76,10
119,74.0746,1298.11,888.582,6618,1268.98,1174.54,1268.44,1175.0,10
120,74.6207,1298.08,887.931,8006,1268.66,1175.45,1268.47,1175.66,10
121,75.1943,1298.31,887.428,7206,1268.34,1175.73,1268.24,1176.16,10
122,75.749,1298.43,887.298,7206,1267.98,1176.26,1268.12,1176.29,10
123,76.333,1298.63,887.548,5838,1267.72,1176.12,1267.92,1176.04,10
124,76.8541,1298.75,888.153,5255,1267.94,1175.96,1267.8,1175.43,10
125,77.94,1298.86,888.505,5255,1267.68,1175.24,1267.69,1175.08,10
126,78.4951,1298.56,888.638,5202,1267.86,1175.11,1267.99,1174.95,10
127,79.0475,1298.6,888.537,5722,1268.09,1175.17,1267.95,1175.05,10
128,79.5804,1298.72,888.669,5150,1267.55,1175.16,1267.83,1174.92,10
129,80.1549,1298.84,888.935,5150,1268.2,1174.74,1267.71,1174.65,10
130,80.7056,1298.9,888.786,5150,1267.91,1174.89,1269.51,1174.71,10
131,81.2595,1298.81,888.677,5150,1269.19,1174.62,1269.6,1174.81,10
132,81.8077,1298.68,888.59,5150,1269.58,1174.79,1269.73,1174.9,10
133,82.9865,1298.69,888.601,5665,1269.62,1174.9,1269.72,1174.89,10
134,83.5512,1298.74,888.454,5665,1269.92,1175.04,1269.67,1175.04,10
135,84.1043,1298.9,888.273,7539,1269.77,1175.2,1269.5,1175.22,10
136,84.6443,1298.91,888.017,6786,1270.13,1175.25,1269.5,1175.47,10
137,85.2158,1298.89,888.07,6786,1269.05,1175.65,1269.51,1175.42,10
138,85.7714,1298.9,888.146,6786,1269.85,1175.44,1269.51,1175.35,10
139,86.3462,1298.93,887.956,6786,1269.24,1175.53,1269.47,1175.54,10
140,86.8652,1298.96,887.625,6786,1269.39,1175.63,1269.44,1175.87,10
141,87.9275,1298.83,887.282,7464,1269.46,1175.69,1269.57,1176.21,10
142,88.4862,1298.25,886.643,7464,1269.54,1176.59,1270.15,1176.85,10
143,89.0402,1298.06,886.341,9934,1270.08,1176.78,1270.34,1177.15,10
144,89.5997,1298.07,886.11,9934,1270.55,1177.1,1270.33,1177.38,10
145,90.1726,1298.19,885.896,9934,1270.31,1177.57,1270.21,1177.6,10
146,90.7149,1298.14,885.529,8941,1269.81,1177.54,1272.19,1178.19,10
147,91.2984,1298.14,885.453,9835,1271.68,1178.56,1272.19,1178.27,10
148,91.8555,1298.17,885.617,9835,1272.26,1178.14,1272.16,1178.11,10
149,92.9515,1298.17,885.617,9835,1272.14,1178.16,1272.16,1178.11,10
150,93.526,1298.17,885.617,9835,1272.27,1177.74,1272.16,1178.11,10
151,94.0958,1298.17,885.617,9835,1272.34,1178.16,1272.16,1178.11,10
152,94.6621,1298.17,885.617,9835,1271.86,1177.87,1272.16,1178.11,10
